time_s,x_m,y_m,vx_m_s,vy_m_s,radius_m,speed_m_s,acceleration_m_s2,specific_energy_J_kg,angular_momentum_m2_s
37562.561085,-11257085.7071,4893740.61209,-1983.67416594,-6300.19949498,12274798.4014,6605.10990622,2.64552171482,-10659507.2792,80629472513.6
37787.4866005,-11641892.6255,3449985.02151,-1419.30036336,-6505.20580759,12142325.1708,6658.23671256,2.703562094,-10661472.0045,80629472513.6
38012.4121159,-11895559.4387,1967367.07295,-823.553061311,-6641.91051667,12057150.0596,6692.77333818,2.74189446421,-10662825.5246,80629472513.6
38237.3376314,-12012368.8192,462114.728059,-209.348697742,-6704.15058088,12021254.2886,6707.41842204,2.75829364511,-10663418.3663,80629472513.6
38462.2631469,-11989735.1663,-1048501.97755,408.922458378,-6689.11493,12035493.5816,6701.60250415,2.75177078548,-10663181.565,80629472513.6
38687.1886624,-11828414.6297,-2546990.51939,1016.56131591,-6597.69740261,12099526.989,6675.55300521,2.72272188116,-10662142.9221,80629472513.6
38912.1141778,-11532434.0103,-4016482.95607,1599.77920834,-6434.37339626,12211845.4599,6630.26805778,2.67286772827,-10660420.3735,80629472513.6
39137.0396933,-11108752.3035,-5441500.02527,2146.75046864,-6206.63130298,12369894.9174,6567.40509682,2.60500191097,-10658195.0454,80629472513.6
39361.9652088,-10566716.0987,-6808542.44649,2648.32912084,-5924.09322794,12570272.0478,6489.10839065,2.5226134857,-10655673.934,80629472513.6
39586.8907243,-9917398.71822,-8106459.47135,3098.35670011,-5597.51312553,12808961.0233,6397.80958075,2.42947401634,-10653054.2666,80629472513.6
39811.8162398,-9172917.14292,-9326589.4968,3493.58864026,-5237.83270323,13081577.9076,6296.03470562,2.32926983707,-10650498.3343,80629472513.6
40036.7417552,-8345804.26666,-10462703.9129,3833.33707849,-4855.42200228,13383595.2579,6186.24247646,2.22533028353,-10648121.8411,80629472513.6
40261.6672707,-7448486.50615,-11510806.0903,4118.9545981,-4459.56165898,13710529.0956,6070.70648042,2.1204675823,-10645993.8976,80629472513.6
40486.5927862,-6492888.29424,-12468842.3228,4353.27277493,-4058.16325506,14058080.4974,5951.44292232,2.01691694764,-10644144.3777,80629472513.6
40711.5183017,-5490162.26031,-13336375.0143,4540.07800429,-3657.68600303,14422232.1493,5830.17797171,1.91635119964,-10642574.2898,80629472513.6
40936.4438172,-4450529.52338,-14114256.1422,4683.67125398,-3263.19299149,14799305.3717,5708.34519936,1.81994139669,-10641266.0307,80629472513.6
41161.3693326,-3383207.91804,-14804325.7458,4788.52849531,-2878.49197034,15185985.5329,5587.10311107,1.72843918374,-10640191.8519,80629472513.6
41386.2948481,-2296405.04299,-15409148.7226,4859.05851132,-2506.3162434,15579324.1342,5467.36414814,1.64226350018,-10639320.0188,80629472513.6
41611.2203636,-1197355.43724,-15931794.6918,4899.44407824,-2148.51436351,15976725.0131,5349.82861838,1.56158110784,-10638618.8226,80629472513.6
41836.1458791,-92385.0732762,-16375660.1241,4913.54872293,-1806.22927357,16375920.7222,5235.01912521,1.48637575407,-10638058.8914,80629472513.6
42061.0713946,1013009.52143,-16744328.7926,4904.87168062,-1480.05676236,16774943.6663,5123.31281723,1.41650439399,-10637614.3006,80629472513.6
42285.99691,2114076.50897,-17041465.1845,4876.53616888,-1170.17942296,17172095.2455,5014.9700785,1.35174100888,-10637262.9076,80629472513.6
